Nom.scientifique;Common.name;Nom.vernaculaire;Commentaire;Règne;Embranchement;Classe;Ordre;Famille;Genre;ID.WoRMS;ID.ITIS;Présent.Brunel.1998;Taxons.IML
Schistobrachia ramosa;;;;Animalia;Arthropoda;Hexanauplia;Siphonostomatoida;Lernaeopodidae;Schistobrachia;135882;;Oui;Oui
Schisturella pulchra;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Tryphosidae;Schisturella;102716;;Oui;Oui
Schizobrachiella stylifera;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Schizoporellidae;Schizobrachiella;423734;;Oui;
Schizomavella (Schizomavella) auriculata;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Bitectiporidae;Schizomavella;862786;;Oui;
Schizomavella (Schizomavella) linearis;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Bitectiporidae;Schizomavella;862795;;Oui;
Schizomavella porifera;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Bitectiporidae;Schizomavella;111105;;Oui;
Schizoporella incerta;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Schizoporellidae;Schizoporella;156391;;Oui;
Schizoporella obesa;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Schizoporellidae;Schizoporella;159889;;Oui;
Schizoporella unicornis;Single Horn Bryozoan;Schizoporelle Unicorne;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Schizoporellidae;Schizoporella;111538;;Oui;
Schizothrix rostrata;;;;Animalia;Arthropoda;Hexanauplia;Harpacticoida;Leptastacidae;Schizothrix;116358;;Oui;Oui
Sciaenops ocellatus;Red Drum;Tambour Rouge;;Animalia;Chordata;Actinopteri;Eupercaria incertae sedis;Sciaenidae;Sciaenops;159335;;;
Scina borealis;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Scinidae;Scina;103278;;;Oui
Sclerocheilus minutus;;;;Animalia;Annelida;Polychaeta;rank absent;Scalibregmatidae;Sclerocheilus;130982;;Oui;Oui
Sclerochilus contortus;;;;Animalia;Arthropoda;Ostracoda;Podocopida;Bythocytheridae;Sclerochilus;127951;;Oui;Oui
Sclerocrangon boreas;Sculptured Shrimp;Crevette De Roche;;Animalia;Arthropoda;Malacostraca;Decapoda;Crangonidae;Sclerocrangon;107568;;Oui;Oui
Sclerocrangon ferox;Warrior Shrimp;Crevette Sauvage;;Animalia;Arthropoda;Malacostraca;Decapoda;Crangonidae;Sclerocrangon;107569;;;
Sclerodactyla briareus;;;;Animalia;Echinodermata;Holothuroidea;Dendrochirotida;Sclerodactylidae;Sclerodactyla;158532;;;
Scolecithricella minor minor;;;;Animalia;Arthropoda;Hexanauplia;Calanoida;Scolecitrichidae;Scolecithricella;1509944;;Oui;Oui
Scolelepis (Parascolelepis) tridentata;;;;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Scolelepis;157561;;Oui;Oui
